reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction,n_res_plddt,n_res_plddt_bs,median_plddt,median_plddt_bs,avg_plddt,avg_plddt_bs,std_plddt,std_plddt_bs,iqr_plddt,iqr_plddt_bs,p10_plddt,p10_plddt_bs,bindingsite_similarity_score,non_equivalent_residues
Ort-RDM-1_3,KNG79871,0.418,326,189,0,4,329,8,332,1.777E-64,217,1.54,0.91386,0.3651320934295654,47.0,34.0,0.723404255319149,400.0,47.0,0.968,0.975,0.946,0.972,0.072,0.019,0.046,0.021,0.892,0.95,0.5301204819277109,2.0
Ort-RDM-1_3,PWN99435,0.393,333,197,0,4,329,6,338,3.793E-60,204,2.18,0.87087,0.5520850419998169,52.0,26.0,0.5,406.0,52.0,0.966,0.975,0.949,0.958,0.06,0.035,0.034,0.03,0.899,0.896,0.5381526104417671,6.0
Ort-RDM-1_3,KZP30036,0.453,272,146,0,68,335,1,272,1.163E-58,200,1.65,0.90571,0.4037858247756958,31.0,18.0,0.5806451612903226,330.0,31.0,0.965,0.962,0.94,0.932,0.062,0.083,0.054,0.046,0.856,0.857,0.2931726907630522,0.0
Ort-RDM-1_3,PYH81298,0.355,331,210,0,4,334,13,339,6.144E-54,186,1.51,0.89119,0.4200906455516815,53.0,37.0,0.6981132075471698,406.0,53.0,0.982,0.986,0.963,0.978,0.054,0.02,0.028,0.01,0.93,0.955,0.321285140562249,7.0
Ort-RDM-1_3,POY72851,0.381,258,156,0,1,253,1,258,1.170E-42,153,2.53,0.84891,0.5125371813774109,46.0,35.0,0.7608695652173914,408.0,46.0,0.987,0.988,0.974,0.985,0.034,0.012,0.012,0.003,0.936,0.983,0.3132530120481928,4.0
Ort-RDM-1_3,KZT58659,0.344,319,208,0,8,326,10,327,1.374E-39,144,2.07,0.88427,0.3060994148254394,47.0,13.0,0.2765957446808511,400.0,47.0,0.982,0.987,0.968,0.979,0.038,0.017,0.022,0.013,0.929,0.96,0.18072289156626506,5.0
Ort-RDM-1_3,OAL74534,0.330,327,212,0,10,327,9,335,8.654E-39,141,2.35,0.84556,0.4767171442508697,46.0,33.0,0.717391304347826,410.0,46.0,0.965,0.98,0.947,0.966,0.059,0.037,0.039,0.023,0.878,0.933,0.4457831325301205,3.0
Ort-RDM-1_3,GBF63150,0.344,292,182,0,10,287,9,300,6.293E-37,136,2.38,0.85489,0.6491312980651855,47.0,35.0,0.7446808510638298,371.0,47.0,0.971,0.981,0.957,0.973,0.048,0.018,0.038,0.021,0.916,0.942,0.36947791164658633,5.0
Ort-RDM-1_3,EEQ37269,0.337,324,212,0,10,333,4,324,6.142E-35,130,2.29,0.85792,0.4337547123432159,45.0,38.0,0.8444444444444444,389.0,45.0,0.981,0.983,0.969,0.98,0.03,0.011,0.021,0.011,0.922,0.962,0.37349397590361444,1.0
Ort-RDM-1_3,KIO03511,0.331,328,209,0,1,314,1,328,8.332E-35,130,2.88,0.82955,0.5883694291114807,50.0,36.0,0.72,408.0,50.0,0.979,0.985,0.961,0.974,0.05,0.03,0.028,0.015,0.913,0.96,0.37751004016064255,7.0
Ort-RDM-1_3,ODN75553,0.331,275,178,0,1,267,1,275,1.130E-34,129,2.4,0.83268,0.4218328297138214,46.0,33.0,0.717391304347826,415.0,46.0,0.974,0.976,0.951,0.969,0.068,0.026,0.035,0.02,0.901,0.927,0.30522088353413657,4.0
Ort-RDM-1_3,KIY00742,0.346,224,143,0,1,224,1,219,7.030E-34,127,3.32,0.7745,0.4825465679168701,48.0,26.0,0.5416666666666666,350.0,48.0,0.832,0.859,0.744,0.781,0.217,0.194,0.449,0.376,0.418,0.472,0.3132530120481928,7.0
Ort-RDM-1_3,EMG50559,0.309,327,225,0,8,334,3,328,4.363E-33,124,2.69,0.85041,0.3232283294200897,47.0,29.0,0.6170212765957447,391.0,47.0,0.978,0.98,0.952,0.973,0.102,0.022,0.025,0.014,0.923,0.946,0.43373493975903615,5.0
Ort-RDM-1_3,EXF74267,0.326,326,215,0,10,329,4,329,1.086E-32,123,2.21,0.86072,0.4552805125713348,48.0,31.0,0.6458333333333334,398.0,48.0,0.983,0.986,0.965,0.98,0.046,0.014,0.022,0.012,0.929,0.961,0.3815261044176707,5.0
Ort-RDM-1_3,EEQ38647,0.327,305,204,0,10,314,4,307,1.232E-31,120,2.17,0.85733,0.3788840770721435,47.0,33.0,0.7021276595744681,389.0,47.0,0.974,0.976,0.961,0.968,0.037,0.024,0.027,0.023,0.917,0.929,0.3132530120481928,4.0
Ort-RDM-1_3,KGT67521,0.334,319,205,0,6,314,3,321,1.668E-31,120,2.58,0.85874,0.4257112443447113,46.0,32.0,0.6956521739130435,398.0,46.0,0.98,0.985,0.964,0.977,0.047,0.018,0.022,0.013,0.924,0.96,0.30522088353413657,3.0
Ort-RDM-1_3,EDK39148,0.331,279,185,0,8,286,3,279,1.391E-30,117,2.57,0.86784,0.4039927423000335,47.0,32.0,0.6808510638297872,385.0,47.0,0.977,0.979,0.953,0.969,0.061,0.025,0.037,0.028,0.888,0.931,0.27710843373493976,3.0
Ort-RDM-1_3,ODV67907,0.337,275,181,0,8,281,5,279,1.391E-30,117,2.61,0.85548,0.4295079708099365,45.0,28.0,0.6222222222222222,394.0,45.0,0.986,0.989,0.972,0.987,0.039,0.005,0.016,0.004,0.94,0.98,0.2971887550200803,3.0
Ort-RDM-1_3,EMG50561,0.318,332,222,0,8,334,5,336,1.391E-30,117,2.7,0.83784,0.444032073020935,44.0,32.0,0.7272727272727273,400.0,44.0,0.985,0.988,0.969,0.985,0.049,0.009,0.018,0.005,0.938,0.977,0.3413654618473896,3.0
Ort-RDM-1_3,CAX41646,0.318,319,210,0,6,314,3,321,2.547E-30,116,2.51,0.8619,0.4629102051258087,44.0,31.0,0.7045454545454546,398.0,44.0,0.98,0.982,0.961,0.975,0.055,0.02,0.022,0.015,0.901,0.952,0.26907630522088355,3.0
Ort-RDM-1_3,EMG50750,0.322,318,207,0,8,314,4,321,3.446E-30,116,2.52,0.85685,0.4541766941547394,44.0,31.0,0.7045454545454546,398.0,44.0,0.985,0.988,0.972,0.986,0.038,0.006,0.015,0.005,0.942,0.979,0.26907630522088355,3.0
Ort-RDM-1_3,CCH43855,0.306,335,225,0,9,333,5,339,1.155E-29,114,2.57,0.83163,0.4800445437431335,46.0,32.0,0.6956521739130435,406.0,46.0,0.983,0.987,0.97,0.983,0.039,0.009,0.017,0.009,0.942,0.972,0.3333333333333333,5.0
Ort-RDM-1_3,EER34926,0.314,335,224,0,6,333,6,340,1.562E-29,114,2.54,0.85022,0.4371258318424225,47.0,29.0,0.6170212765957447,402.0,47.0,0.985,0.987,0.969,0.985,0.048,0.006,0.018,0.008,0.937,0.979,0.321285140562249,4.0
Ort-RDM-1_3,EGW30505,0.342,312,201,0,8,314,3,314,5.224E-29,112,2.29,0.86075,0.4198329150676727,46.0,31.0,0.6739130434782609,394.0,46.0,0.981,0.986,0.971,0.983,0.039,0.007,0.016,0.009,0.946,0.972,0.2891566265060241,3.0
Ort-RDM-1_3,ORY92490,0.312,328,219,0,10,329,9,336,5.224E-29,112,2.83,0.80635,0.5450878143310547,51.0,37.0,0.7254901960784313,415.0,51.0,0.949,0.961,0.911,0.928,0.097,0.088,0.082,0.05,0.756,0.782,0.3413654618473896,7.0
Ort-RDM-1_3,EXU95441,0.326,281,188,0,6,286,4,283,7.064E-29,112,2.48,0.84378,0.5330528616905212,47.0,28.0,0.5957446808510638,402.0,47.0,0.978,0.981,0.958,0.975,0.069,0.019,0.027,0.019,0.927,0.956,0.2971887550200803,4.0
Ort-RDM-1_3,EGW32862,0.317,310,209,0,8,314,4,313,9.550E-29,111,2.65,0.85449,0.3980471193790436,45.0,29.0,0.6444444444444445,391.0,45.0,0.985,0.988,0.973,0.985,0.042,0.006,0.014,0.006,0.951,0.975,0.3253012048192771,3.0
Ort-RDM-1_3,ABN65471,0.328,325,216,0,9,333,4,326,9.550E-29,111,2.63,0.85295,0.4719260036945343,45.0,33.0,0.7333333333333333,392.0,45.0,0.984,0.988,0.973,0.982,0.038,0.014,0.017,0.007,0.948,0.973,0.3293172690763052,3.0
Ort-RDM-1_3,ABN66052,0.337,324,213,0,8,329,2,325,9.550E-29,111,2.23,0.85771,0.4515641927719116,45.0,31.0,0.6888888888888889,394.0,45.0,0.985,0.988,0.977,0.984,0.025,0.007,0.014,0.006,0.954,0.976,0.2570281124497992,3.0
Ort-RDM-1_3,ABN68180,0.332,279,185,0,8,286,2,279,3.188E-28,110,2.24,0.85831,0.4036868810653686,46.0,31.0,0.6739130434782609,393.0,46.0,0.984,0.985,0.972,0.978,0.036,0.032,0.018,0.01,0.947,0.968,0.3895582329317269,5.0
Ort-RDM-1_3,ABN64930,0.309,310,211,0,8,314,4,313,5.821E-28,109,2.6,0.84705,0.736643373966217,47.0,21.0,0.4468085106382978,393.0,47.0,0.977,0.979,0.958,0.969,0.05,0.024,0.027,0.025,0.91,0.942,0.2891566265060241,5.0
Ort-RDM-1_3,CCE78191,0.301,311,214,0,8,314,2,312,5.821E-28,109,2.38,0.85208,0.4974396228790283,44.0,31.0,0.7045454545454546,394.0,44.0,0.987,0.988,0.976,0.985,0.035,0.007,0.012,0.006,0.961,0.978,0.2891566265060241,3.0
Ort-RDM-1_3,EDK43723,0.313,331,223,0,8,333,3,333,1.063E-27,108,2.08,0.86802,0.4178274273872375,46.0,28.0,0.6086956521739131,395.0,46.0,0.983,0.987,0.972,0.983,0.035,0.009,0.017,0.008,0.941,0.965,0.3253012048192771,3.0
Ort-RDM-1_3,EGW34746,0.315,327,223,0,8,334,4,329,1.435E-27,108,2.65,0.8533,0.3733662664890289,45.0,32.0,0.7111111111111111,391.0,45.0,0.984,0.988,0.971,0.982,0.042,0.012,0.017,0.007,0.943,0.966,0.3333333333333333,2.0
Ort-RDM-1_3,EDK41061,0.326,324,216,0,8,329,3,326,1.435E-27,108,2.44,0.85267,0.5050570964813232,46.0,33.0,0.717391304347826,395.0,46.0,0.983,0.986,0.97,0.981,0.034,0.01,0.018,0.012,0.943,0.968,0.2971887550200803,3.0
Ort-RDM-1_3,CAX43883,0.301,339,226,0,6,329,2,340,1.435E-27,108,2.84,0.83009,0.5561849474906921,45.0,36.0,0.8,405.0,45.0,0.977,0.981,0.956,0.967,0.056,0.035,0.03,0.019,0.887,0.923,0.3132530120481928,2.0
Ort-RDM-1_3,ODV81507,0.335,325,213,0,9,329,4,328,1.939E-27,108,2.69,0.83842,0.4638857841491699,50.0,31.0,0.62,397.0,50.0,0.975,0.981,0.956,0.967,0.052,0.033,0.033,0.024,0.901,0.926,0.3534136546184739,7.0
Ort-RDM-1_3,ODV76726,0.296,316,215,0,8,314,2,317,1.939E-27,108,2.51,0.8408,0.4172917902469635,48.0,29.0,0.6041666666666666,398.0,48.0,0.98,0.984,0.968,0.98,0.039,0.009,0.022,0.012,0.934,0.966,0.3534136546184739,4.0
Ort-RDM-1_3,EGW35463,0.313,322,220,0,8,329,4,324,3.536E-27,107,2.64,0.84923,0.3012655675411224,45.0,29.0,0.6444444444444445,391.0,45.0,0.983,0.987,0.971,0.982,0.042,0.011,0.016,0.01,0.947,0.969,0.2891566265060241,2.0
Ort-RDM-1_3,KGT70854,0.312,336,222,0,6,329,2,337,3.536E-27,107,2.73,0.83431,0.3831452429294586,47.0,30.0,0.6382978723404256,402.0,47.0,0.974,0.977,0.952,0.961,0.063,0.049,0.031,0.027,0.897,0.93,0.3132530120481928,2.0
Ort-RDM-1_3,EGW35479,0.301,312,215,0,7,314,3,314,4.775E-27,106,2.55,0.85584,0.5638328790664673,48.0,35.0,0.7291666666666666,392.0,48.0,0.979,0.98,0.963,0.966,0.053,0.037,0.021,0.022,0.928,0.909,0.28112449799196787,5.0
Ort-RDM-1_3,EER35026,0.311,323,220,0,9,329,5,327,4.775E-27,106,2.73,0.8435,0.4706812500953674,44.0,31.0,0.7045454545454546,401.0,44.0,0.975,0.98,0.939,0.964,0.09,0.065,0.048,0.015,0.856,0.929,0.2931726907630522,4.0
Ort-RDM-1_3,KIW91465,0.322,305,205,0,10,314,3,305,6.448E-27,106,2.1,0.88196,0.5322514176368713,48.0,29.0,0.6041666666666666,385.0,48.0,0.975,0.981,0.951,0.961,0.063,0.057,0.038,0.026,0.895,0.915,0.30120481927710846,5.0
Ort-RDM-1_3,CCA40817,0.306,329,212,0,7,313,3,331,6.448E-27,106,2.44,0.82226,0.5050588846206665,48.0,32.0,0.6666666666666666,412.0,48.0,0.977,0.985,0.962,0.978,0.046,0.015,0.027,0.017,0.915,0.955,0.3453815261044177,4.0
Ort-RDM-1_3,KGT70745,0.309,292,200,0,1,292,1,291,8.706E-27,106,2.61,0.85903,0.3419612646102905,46.0,29.0,0.6304347826086957,395.0,46.0,0.975,0.983,0.955,0.976,0.054,0.016,0.032,0.018,0.901,0.95,0.3373493975903614,3.0
Ort-RDM-1_3,EDK41009,0.318,322,219,0,8,329,3,324,1.586E-26,105,2.36,0.86146,0.4164470136165619,44.0,30.0,0.6818181818181818,393.0,44.0,0.987,0.988,0.978,0.986,0.027,0.005,0.01,0.004,0.958,0.981,0.285140562248996,3.0
Ort-RDM-1_3,ODV69400,0.338,311,202,0,9,314,4,314,1.586E-26,105,2.18,0.85341,0.5315211415290833,45.0,34.0,0.7555555555555555,396.0,45.0,0.982,0.986,0.962,0.983,0.055,0.01,0.026,0.007,0.916,0.975,0.3253012048192771,3.0
Ort-RDM-1_3,EER35045,0.300,335,229,0,6,333,2,336,1.586E-26,105,2.73,0.85092,0.427997887134552,43.0,29.0,0.6744186046511628,398.0,43.0,0.982,0.985,0.962,0.982,0.055,0.009,0.022,0.009,0.922,0.973,0.285140562248996,2.0
Ort-RDM-1_3,KRZ99698,0.303,311,213,0,8,314,2,312,2.141E-26,104,2.35,0.84891,0.4501374959945678,45.0,31.0,0.6888888888888889,394.0,45.0,0.986,0.988,0.976,0.984,0.032,0.007,0.012,0.009,0.955,0.973,0.2931726907630522,3.0
Ort-RDM-1_3,EMG50243,0.318,307,205,0,8,314,3,304,2.890E-26,104,2.06,0.88224,0.6824437975883484,45.0,36.0,0.8,384.0,45.0,0.983,0.987,0.973,0.983,0.034,0.007,0.016,0.011,0.948,0.972,0.30522088353413657,3.0
Ort-RDM-1_3,OIW25712,0.293,325,229,0,10,334,19,343,2.890E-26,104,2.37,0.82255,0.3242444694042206,51.0,24.0,0.4705882352941176,414.0,51.0,0.978,0.982,0.944,0.975,0.093,0.021,0.037,0.016,0.893,0.96,0.36947791164658633,7.0
Ort-RDM-1_3,EGW35041,0.324,298,199,0,8,305,4,299,5.261E-26,103,2.78,0.78983,0.2746434211730957,46.0,28.0,0.6086956521739131,379.0,46.0,0.957,0.978,0.891,0.96,0.139,0.036,0.128,0.044,0.694,0.905,0.357429718875502,5.0
Ort-RDM-1_3,EGW32291,0.309,327,225,0,8,334,5,330,5.261E-26,103,2.73,0.84601,0.4556274712085724,45.0,33.0,0.7333333333333333,393.0,45.0,0.973,0.978,0.958,0.969,0.048,0.022,0.024,0.015,0.918,0.94,0.3132530120481928,3.0
Ort-RDM-1_3,EMG50733,0.295,318,216,0,8,314,4,321,5.261E-26,103,2.53,0.86043,0.5044511556625366,44.0,31.0,0.7045454545454546,398.0,44.0,0.981,0.984,0.956,0.973,0.066,0.047,0.03,0.012,0.89,0.961,0.321285140562249,3.0
Ort-RDM-1_3,EGW31012,0.293,326,229,0,8,333,4,328,7.098E-26,103,2.54,0.85843,0.5128605365753174,47.0,32.0,0.6808510638297872,389.0,47.0,0.975,0.975,0.957,0.951,0.05,0.059,0.035,0.042,0.911,0.883,0.2891566265060241,3.0
Ort-RDM-1_3,EEQ40618,0.323,279,188,0,9,287,4,281,7.098E-26,103,2.31,0.84577,0.4688466787338257,46.0,34.0,0.7391304347826086,397.0,46.0,0.982,0.986,0.964,0.982,0.062,0.009,0.019,0.009,0.937,0.971,0.3253012048192771,3.0
Ort-RDM-1_3,EDK39163,0.299,322,224,0,8,329,2,321,2.349E-25,101,2.52,0.86256,0.3431919813156128,45.0,29.0,0.6444444444444445,388.0,45.0,0.984,0.987,0.974,0.984,0.031,0.007,0.014,0.007,0.948,0.973,0.3172690763052209,2.0
Ort-RDM-1_3,EGW33294,0.307,323,222,0,8,329,4,326,3.168E-25,101,2.55,0.85834,0.3471596539020538,46.0,31.0,0.6739130434782609,392.0,46.0,0.982,0.986,0.97,0.981,0.037,0.009,0.018,0.009,0.938,0.965,0.3614457831325301,3.0
Ort-RDM-1_3,CCE41438,0.308,301,205,0,10,310,7,303,5.759E-25,100,2.48,0.85435,0.445663571357727,46.0,30.0,0.6521739130434783,398.0,46.0,0.982,0.986,0.968,0.983,0.048,0.008,0.019,0.008,0.94,0.974,0.27710843373493976,4.0
Ort-RDM-1_3,CCG24478,0.294,310,215,0,10,314,5,314,7.763E-25,100,2.5,0.8416,0.432827353477478,45.0,28.0,0.6222222222222222,400.0,45.0,0.987,0.989,0.973,0.986,0.05,0.005,0.01,0.005,0.949,0.98,0.3253012048192771,3.0
Ort-RDM-1_3,CCG22285,0.310,326,220,0,10,329,3,328,1.900E-24,98,2.73,0.84391,0.5383805632591248,44.0,34.0,0.7727272727272727,395.0,44.0,0.983,0.987,0.963,0.981,0.052,0.012,0.026,0.013,0.903,0.962,0.3373493975903614,2.0
Ort-RDM-1_3,EGW33854,0.311,325,223,0,10,334,13,337,1.900E-24,98,2.64,0.84461,0.2659005224704742,46.0,29.0,0.6304347826086957,399.0,46.0,0.969,0.978,0.948,0.963,0.065,0.038,0.038,0.03,0.892,0.927,0.3253012048192771,2.0
Ort-RDM-1_3,ODV81308,0.280,334,235,0,8,334,2,335,1.900E-24,98,2.58,0.82854,0.4592598974704742,43.0,34.0,0.7906976744186046,400.0,43.0,0.977,0.977,0.961,0.961,0.043,0.035,0.028,0.032,0.914,0.917,0.25301204819277107,2.0
Ort-RDM-1_3,CCE40418,0.289,326,227,0,10,329,3,328,3.450E-24,98,2.74,0.84826,0.5195901393890381,45.0,35.0,0.7777777777777778,394.0,45.0,0.978,0.982,0.959,0.977,0.05,0.012,0.029,0.016,0.904,0.96,0.3453815261044177,3.0
Ort-RDM-1_3,CCE39733,0.291,326,230,0,10,334,5,330,3.450E-24,98,2.47,0.84345,0.4421521425247192,44.0,29.0,0.6590909090909091,400.0,44.0,0.984,0.988,0.97,0.984,0.048,0.009,0.015,0.007,0.947,0.977,0.3132530120481928,2.0
Ort-RDM-1_3,ODV65262,0.312,278,190,0,10,286,17,294,3.450E-24,98,2.62,0.80916,0.4898455142974853,45.0,35.0,0.7777777777777778,408.0,45.0,0.965,0.976,0.938,0.967,0.08,0.025,0.044,0.02,0.877,0.93,0.3534136546184739,2.0
Ort-RDM-1_3,EGW32584,0.286,322,228,0,8,329,4,324,4.648E-24,97,2.52,0.8546,0.3438490927219391,45.0,27.0,0.6,391.0,45.0,0.985,0.988,0.977,0.985,0.028,0.005,0.012,0.005,0.955,0.976,0.2891566265060241,2.0
Ort-RDM-1_3,ODV77212,0.288,334,232,0,8,334,2,335,8.432E-24,96,2.48,0.83537,0.5627362132072449,46.0,20.0,0.4347826086956521,400.0,46.0,0.98,0.978,0.967,0.971,0.037,0.021,0.026,0.026,0.937,0.941,0.18875502008032127,4.0
Ort-RDM-1_3,CCE40009,0.271,331,235,0,10,333,7,337,2.059E-23,95,2.2,0.86269,0.3734698295593261,44.0,30.0,0.6818181818181818,398.0,44.0,0.977,0.983,0.954,0.972,0.06,0.028,0.03,0.014,0.889,0.934,0.30120481927710846,3.0
Ort-RDM-1_3,ANZ74293,0.309,296,193,0,8,287,3,298,2.059E-23,95,2.48,0.82396,0.4307631552219391,46.0,33.0,0.717391304347826,411.0,46.0,0.974,0.982,0.957,0.963,0.051,0.052,0.033,0.025,0.904,0.924,0.3253012048192771,3.0
Ort-RDM-1_3,EDK47269,0.297,280,195,0,9,287,7,286,6.756E-23,94,3.03,0.848,0.61708003282547,47.0,31.0,0.6595744680851063,393.0,47.0,0.978,0.982,0.961,0.976,0.061,0.013,0.02,0.018,0.939,0.958,0.3293172690763052,3.0
Ort-RDM-1_3,EGW32253,0.289,310,218,0,8,314,4,313,9.091E-23,93,2.69,0.84928,0.3727456331253052,44.0,31.0,0.7045454545454546,391.0,44.0,0.986,0.987,0.974,0.984,0.037,0.008,0.012,0.008,0.958,0.972,0.27309236947791166,2.0
Ort-RDM-1_3,EER35024,0.302,281,191,0,8,282,5,285,4.003E-22,91,2.73,0.8301,0.4453595280647278,44.0,32.0,0.7272727272727273,402.0,44.0,0.981,0.986,0.964,0.984,0.048,0.006,0.022,0.006,0.921,0.976,0.357429718875502,2.0
Ort-RDM-1_3,OPB45484,0.307,302,204,0,7,308,3,297,5.382E-22,91,2.34,0.84039,0.5380350351333618,46.0,20.0,0.4347826086956521,398.0,46.0,0.964,0.972,0.936,0.954,0.069,0.049,0.058,0.034,0.837,0.892,0.3493975903614458,5.0
Ort-RDM-1_3,KFA63262,0.298,286,195,0,10,288,5,290,5.382E-22,91,2.78,0.80346,0.9058247804641724,45.0,33.0,0.7333333333333333,400.0,45.0,0.97,0.977,0.951,0.967,0.056,0.026,0.039,0.028,0.893,0.932,0.3654618473895582,4.0
Ort-RDM-1_3,CCC13794,0.297,287,188,0,14,281,12,298,5.382E-22,91,3.03,0.74246,0.6619397401809692,45.0,30.0,0.6666666666666666,450.0,45.0,0.937,0.958,0.88,0.951,0.141,0.032,0.097,0.038,0.633,0.913,0.321285140562249,4.0
Ort-RDM-1_3,CCG22283,0.299,310,214,0,9,314,2,311,9.727E-22,90,2.78,0.84741,0.4351999759674072,46.0,30.0,0.6521739130434783,390.0,46.0,0.98,0.983,0.966,0.979,0.037,0.013,0.023,0.013,0.931,0.958,0.3815261044176707,3.0
Ort-RDM-1_3,CCH60145,0.302,284,193,0,10,286,3,286,1.307E-21,90,2.68,0.82424,0.3851005733013153,46.0,29.0,0.6304347826086957,401.0,46.0,0.981,0.986,0.954,0.978,0.063,0.016,0.03,0.016,0.851,0.956,0.39357429718875503,4.0
Ort-RDM-1_3,KGT65805,0.303,330,227,0,9,334,6,335,5.724E-21,88,2.41,0.8432,0.4384994506835937,46.0,31.0,0.6739130434782609,400.0,46.0,0.969,0.975,0.951,0.957,0.054,0.038,0.034,0.029,0.899,0.886,0.3092369477911647,3.0
Ort-RDM-1_3,CAX41255,0.303,331,227,0,8,334,5,335,5.724E-21,88,2.48,0.84631,0.4409413635730743,46.0,31.0,0.6739130434782609,400.0,46.0,0.969,0.978,0.951,0.961,0.06,0.034,0.032,0.026,0.908,0.901,0.3092369477911647,3.0
