DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Similarity
COLOR	#ff0000
DATA
Sporidiobolus_salmonicolor_Ssal-KRED	#59C959	High (100.0%)
Armillaria_gallica_PBK90014	#905799	Far distant (29.4%)
Armillaria_gallica_PBK90033	#87CEEB	Low (35.0%)
Armillaria_gallica_PBK90041	#905799	Far distant (29.6%)
Armillaria_gallica_PBK90180	#905799	Far distant (29.1%)
Armillaria_gallica_PBK90182	#905799	Far distant (27.4%)
Armillaria_gallica_PBK86378	#905799	Far distant (26.3%)
Armillaria_gallica_PBK86409	#87CEEB	Low (32.5%)
Armillaria_gallica_PBK84893	#87CEEB	Low (35.8%)
Armillaria_gallica_PBK84895	#87CEEB	Low (33.1%)
Armillaria_gallica_PBK79491	#905799	Far distant (26.4%)
Armillaria_ostoyae_SJK98656	#905799	Far distant (26.0%)
Armillaria_ostoyae_SJK98679	#87CEEB	Low (30.2%)
Armillaria_ostoyae_SJK98698	#87CEEB	Low (33.8%)
Armillaria_ostoyae_SJK98706	#87CEEB	Low (30.5%)
Armillaria_ostoyae_SJK98814	#905799	Far distant (29.1%)
Armillaria_ostoyae_SJK99430	#905799	Far distant (29.6%)
Armillaria_ostoyae_SJL01711	#87CEEB	Low (32.8%)
Armillaria_ostoyae_SJL04956	#87CEEB	Low (33.0%)
Armillaria_ostoyae_SJL06545	#905799	Far distant (28.0%)
Armillaria_ostoyae_SJL07411	#87CEEB	Low (32.6%)
Armillaria_ostoyae_SJL11967	#87CEEB	Low (36.1%)
Armillaria_ostoyae_SJL11972	#87CEEB	Low (33.5%)
Armillaria_ostoyae_SJL13134	#87CEEB	Low (33.7%)
Armillaria_ostoyae_SJL18106	#905799	Far distant (28.4%)
Armillaria_ostoyae_SJL18373	#87CEEB	Low (32.3%)
Armillaria_solidipes_PBK63911	#87CEEB	Low (33.3%)
Armillaria_solidipes_PBK74752	#87CEEB	Low (32.2%)
Armillaria_solidipes_PBK72858	#87CEEB	Low (32.8%)
Armillaria_solidipes_PBK71177	#87CEEB	Low (34.7%)
Armillaria_solidipes_PBK69997	#87CEEB	Low (33.0%)
Armillaria_solidipes_PBK68731	#87CEEB	Low (30.5%)
Armillaria_solidipes_PBK68733	#905799	Far distant (28.4%)
Armillaria_solidipes_PBK68839	#905799	Far distant (29.4%)
Armillaria_solidipes_PBK68848	#87CEEB	Low (33.5%)
Armillaria_solidipes_PBK68868	#905799	Far distant (24.2%)
Armillaria_solidipes_PBK68893	#905799	Far distant (25.7%)
Armillaria_solidipes_PBK67892	#905799	Far distant (29.6%)
Armillaria_solidipes_PBK63668	#905799	Far distant (27.2%)
Armillaria_solidipes_PBK61525	#87CEEB	Low (35.8%)
Armillaria_solidipes_PBK61528	#87CEEB	Low (33.8%)
Armillaria_solidipes_PBK59327	#87CEEB	Low (32.7%)
Arthrobotrys_oligospora_EGX52492	#87CEEB	Low (31.0%)
Arthrobotrys_oligospora_EGX52199	#87CEEB	Low (36.7%)
Arthrobotrys_oligospora_EGX51733	#87CEEB	Low (31.5%)
Arthrobotrys_oligospora_EGX48842	#87CEEB	Low (34.0%)
Ascochyta_rabiei_KZM26997	#87CEEB	Low (35.8%)
Ascochyta_rabiei_KZM24611	#905799	Far distant (29.4%)
Ascochyta_rabiei_KZM24608	#EAFF80	Medium (40.2%)
Ascochyta_rabiei_KZM24047	#905799	Far distant (29.8%)
Ascochyta_rabiei_KZM23558	#905799	Far distant (28.5%)
Ascochyta_rabiei_KZM22337	#87CEEB	Low (32.5%)
Ascochyta_rabiei_KZM21600	#905799	Far distant (28.0%)
Ascochyta_rabiei_KZM20737	#87CEEB	Low (35.5%)
Ascoidea_rubescens_ODV63689	#87CEEB	Low (31.2%)
Ascoidea_rubescens_ODV62472	#87CEEB	Low (34.8%)
Ascosphaera_apis_KZZ91011	#87CEEB	Low (34.3%)
Aspergillus_aculeatinus_RAH75440	#87CEEB	Low (36.8%)
Aspergillus_aculeatinus_RAH75726	#87CEEB	Low (32.7%)
Aspergillus_aculeatinus_RAH74401	#87CEEB	Low (34.6%)
Aspergillus_aculeatinus_RAH71254	#905799	Far distant (28.0%)
Aspergillus_aculeatinus_RAH71163	#87CEEB	Low (31.3%)
Aspergillus_aculeatinus_RAH69928	#87CEEB	Low (31.5%)
Aspergillus_aculeatinus_RAH68787	#905799	Far distant (23.7%)
Aspergillus_aculeatinus_RAH68788	#87CEEB	Low (31.7%)
Aspergillus_aculeatinus_RAH68465	#87CEEB	Low (30.2%)
Aspergillus_aculeatinus_RAH68468	#87CEEB	Low (30.9%)
Aspergillus_aculeatinus_RAH67480	#905799	Far distant (27.6%)
Aspergillus_aculeatinus_RAH67249	#905799	Far distant (28.5%)
Aspergillus_aculeatinus_RAH67252	#87CEEB	Low (31.2%)
Aspergillus_aculeatinus_RAH67286	#87CEEB	Low (33.4%)
Aspergillus_aculeatinus_RAH67316	#87CEEB	Low (35.8%)
Aspergillus_aculeatinus_RAH66338	#87CEEB	Low (33.5%)
Aspergillus_aculeatinus_RAH65358	#87CEEB	Low (34.9%)
Aspergillus_aculeatinus_RAH65250	#87CEEB	Low (34.9%)
Aspergillus_aculeatinus_RAH64723	#87CEEB	Low (33.9%)
Aspergillus_aculeatus_OJK02137	#87CEEB	Low (35.6%)
Aspergillus_aculeatus_OJK02160	#87CEEB	Low (31.0%)
Aspergillus_aculeatus_OJK04307	#87CEEB	Low (36.1%)
Aspergillus_aculeatus_OJK03692	#87CEEB	Low (34.6%)
Aspergillus_aculeatus_OJJ99093	#87CEEB	Low (36.1%)
Aspergillus_aculeatus_OJJ98983	#87CEEB	Low (33.1%)
Aspergillus_aculeatus_OJJ98463	#87CEEB	Low (30.6%)
Aspergillus_aculeatus_OJJ98466	#87CEEB	Low (30.2%)
Aspergillus_aculeatus_OJJ97573	#87CEEB	Low (34.3%)
Aspergillus_aculeatus_OJJ96408	#87CEEB	Low (35.1%)
Aspergillus_aculeatus_OJJ96434	#87CEEB	Low (33.2%)
Aspergillus_aculeatus_OJJ96332	#87CEEB	Low (31.4%)
Aspergillus_aculeatus_OJJ94786	#905799	Far distant (28.4%)
Aspergillus_arachidicola_PIG82175	#905799	Far distant (25.4%)
Aspergillus_arachidicola_PIG82318	#87CEEB	Low (33.6%)
Aspergillus_arachidicola_PIG86520	#87CEEB	Low (34.8%)
Aspergillus_arachidicola_PIG88058	#EAFF80	Medium (45.3%)
Aspergillus_arachidicola_PIG79355	#87CEEB	Low (30.2%)
Aspergillus_arachidicola_PIG85823	#87CEEB	Low (38.2%)
Aspergillus_arachidicola_PIG83814	#87CEEB	Low (35.8%)
Aspergillus_arachidicola_PIG80372	#87CEEB	Low (30.6%)
Aspergillus_arachidicola_PIG87848	#87CEEB	Low (30.6%)
Aspergillus_arachidicola_PIG87846	#59C959	High (50.9%)
Aspergillus_arachidicola_PIG83686	#87CEEB	Low (34.3%)
Aspergillus_arachidicola_PIG89053	#905799	Far distant (28.4%)
Aspergillus_arachidicola_PIG85055	#87CEEB	Low (33.3%)
Aspergillus_arachidicola_PIG84073	#87CEEB	Low (33.1%)
Aspergillus_arachidicola_PIG87520	#87CEEB	Low (31.3%)
Aspergillus_arachidicola_PIG87005	#905799	Far distant (29.9%)
Aspergillus_arachidicola_PIG86236	#87CEEB	Low (39.0%)
Aspergillus_arachidicola_PIG82637	#87CEEB	Low (33.0%)
Aspergillus_arachidicola_PIG89755	#905799	Far distant (28.9%)
Aspergillus_bombycis_OGM51215	#87CEEB	Low (35.6%)
Aspergillus_bombycis_OGM51356	#87CEEB	Low (30.9%)
Aspergillus_bombycis_OGM51300	#87CEEB	Low (33.3%)
Aspergillus_bombycis_OGM50578	#905799	Far distant (28.1%)
Aspergillus_bombycis_OGM49636	#87CEEB	Low (37.0%)
Aspergillus_bombycis_OGM49701	#87CEEB	Low (34.9%)
Aspergillus_bombycis_OGM49513	#87CEEB	Low (33.3%)
Aspergillus_bombycis_OGM48465	#87CEEB	Low (35.6%)
Aspergillus_bombycis_OGM48275	#87CEEB	Low (30.8%)
Aspergillus_bombycis_OGM47810	#905799	Far distant (28.0%)
Aspergillus_bombycis_OGM46608	#87CEEB	Low (36.8%)
Aspergillus_bombycis_OGM44236	#87CEEB	Low (34.7%)
Aspergillus_bombycis_OGM43827	#87CEEB	Low (33.1%)
Aspergillus_bombycis_OGM43401	#87CEEB	Low (33.7%)
Aspergillus_bombycis_OGM42959	#EAFF80	Medium (45.3%)
Aspergillus_bombycis_OGM42167	#905799	Far distant (29.4%)
Aspergillus_bombycis_OGM41367	#87CEEB	Low (30.4%)
Aspergillus_bombycis_OGM41061	#87CEEB	Low (35.9%)
Aspergillus_bombycis_OGM40761	#87CEEB	Low (32.6%)
Aspergillus_brasiliensis_OJJ77384	#87CEEB	Low (34.6%)
Aspergillus_brasiliensis_OJJ78137	#87CEEB	Low (36.3%)
Aspergillus_brasiliensis_OJJ78152	#87CEEB	Low (31.4%)
Aspergillus_brasiliensis_OJJ75260	#87CEEB	Low (31.0%)
Aspergillus_brasiliensis_OJJ71871	#87CEEB	Low (33.5%)
Aspergillus_brasiliensis_OJJ69778	#87CEEB	Low (37.4%)
Aspergillus_brasiliensis_OJJ69730	#87CEEB	Low (34.3%)
Aspergillus_brasiliensis_OJJ68395	#87CEEB	Low (33.0%)
Aspergillus_brasiliensis_OJJ66270	#87CEEB	Low (32.8%)
Aspergillus_brasiliensis_OJJ66161	#87CEEB	Low (35.1%)
Aspergillus_brunneoviolaceus_RAH50461	#905799	Far distant (28.0%)
Aspergillus_brunneoviolaceus_RAH50586	#87CEEB	Low (36.4%)
Aspergillus_brunneoviolaceus_RAH50395	#87CEEB	Low (35.2%)
Aspergillus_brunneoviolaceus_RAH50412	#87CEEB	Low (32.0%)
Aspergillus_brunneoviolaceus_RAH47676	#87CEEB	Low (32.2%)
Aspergillus_brunneoviolaceus_RAH47718	#87CEEB	Low (31.5%)
Aspergillus_brunneoviolaceus_RAH47750	#87CEEB	Low (35.8%)
Aspergillus_brunneoviolaceus_RAH47780	#87CEEB	Low (33.5%)
Aspergillus_brunneoviolaceus_RAH47020	#87CEEB	Low (34.6%)
Aspergillus_brunneoviolaceus_RAH46205	#87CEEB	Low (32.3%)
Aspergillus_brunneoviolaceus_RAH43797	#905799	Far distant (27.9%)
Aspergillus_brunneoviolaceus_RAH43576	#87CEEB	Low (31.0%)
Aspergillus_brunneoviolaceus_RAH43075	#87CEEB	Low (34.3%)
Aspergillus_brunneoviolaceus_RAH42905	#87CEEB	Low (34.9%)
Aspergillus_brunneoviolaceus_RAH42560	#87CEEB	Low (31.3%)
Aspergillus_brunneoviolaceus_RAH42563	#87CEEB	Low (31.3%)
Aspergillus_brunneoviolaceus_RAH42214	#87CEEB	Low (32.0%)
Aspergillus_brunneoviolaceus_RAH39885	#87CEEB	Low (37.1%)
Aspergillus_calidoustus_CEL00426	#87CEEB	Low (31.1%)
Aspergillus_calidoustus_CEL01244	#87CEEB	Low (34.3%)
Aspergillus_calidoustus_CEL01800	#905799	Far distant (29.6%)
Aspergillus_calidoustus_CEL08733	#87CEEB	Low (33.9%)
Aspergillus_calidoustus_CEL08937	#87CEEB	Low (34.2%)
Aspergillus_calidoustus_CEL09801	#87CEEB	Low (30.7%)
Aspergillus_calidoustus_CEN59745	#87CEEB	Low (33.0%)
Aspergillus_calidoustus_CEN60646	#87CEEB	Low (32.9%)
Aspergillus_calidoustus_CEN60777	#87CEEB	Low (30.2%)
Aspergillus_calidoustus_CEL11637	#87CEEB	Low (30.1%)
Aspergillus_calidoustus_CEL04642	#87CEEB	Low (31.2%)
Aspergillus_calidoustus_CEL05009	#87CEEB	Low (30.6%)
Aspergillus_calidoustus_CEN62671	#EAFF80	Medium (41.3%)
Aspergillus_calidoustus_CEN62672	#905799	Far distant (22.5%)
Aspergillus_calidoustus_CEN62928	#87CEEB	Low (33.6%)
Aspergillus_calidoustus_CEL07001	#87CEEB	Low (34.0%)
Aspergillus_campestris_PKY07196	#87CEEB	Low (32.2%)
Aspergillus_campestris_PKY06567	#87CEEB	Low (36.8%)
Aspergillus_campestris_PKY02815	#87CEEB	Low (32.5%)
Aspergillus_candidus_PLB40899	#87CEEB	Low (37.4%)
Aspergillus_candidus_PLB38888	#87CEEB	Low (31.9%)
Aspergillus_candidus_PLB37629	#905799	Far distant (29.9%)
Aspergillus_candidus_PLB36594	#905799	Far distant (28.6%)
Aspergillus_candidus_PLB34990	#87CEEB	Low (32.0%)
Aspergillus_carbonarius_OOF99382	#87CEEB	Low (35.6%)
Aspergillus_carbonarius_OOG00207	#87CEEB	Low (32.7%)
Aspergillus_carbonarius_OOF98714	#87CEEB	Low (33.3%)
Aspergillus_carbonarius_OOF96542	#87CEEB	Low (32.3%)
Aspergillus_carbonarius_OOF96813	#87CEEB	Low (35.8%)
Aspergillus_carbonarius_OOF94542	#87CEEB	Low (32.0%)
Aspergillus_carbonarius_OOF94077	#87CEEB	Low (35.3%)
Aspergillus_carbonarius_OOF94147	#87CEEB	Low (35.3%)
Aspergillus_carbonarius_OOF94380	#905799	Far distant (27.8%)
Aspergillus_cristatus_ODM22435	#87CEEB	Low (33.5%)
Aspergillus_cristatus_ODM22528	#87CEEB	Low (33.6%)
Aspergillus_cristatus_ODM20652	#87CEEB	Low (34.6%)
Aspergillus_cristatus_ODM19155	#905799	Far distant (28.3%)
Aspergillus_cristatus_ODM17544	#87CEEB	Low (33.1%)
Aspergillus_ellipticus_PYI00172	#905799	Far distant (29.8%)
Aspergillus_ellipticus_PYH99623	#87CEEB	Low (34.9%)
Aspergillus_ellipticus_PYH98848	#87CEEB	Low (34.1%)
Aspergillus_ellipticus_PYH98416	#87CEEB	Low (31.8%)
Aspergillus_ellipticus_PYH95889	#905799	Far distant (24.0%)
Aspergillus_ellipticus_PYH95892	#87CEEB	Low (30.6%)
Aspergillus_ellipticus_PYH94495	#87CEEB	Low (38.4%)
Aspergillus_ellipticus_PYH93389	#87CEEB	Low (33.6%)
Aspergillus_ellipticus_PYH93219	#87CEEB	Low (33.9%)
Aspergillus_ellipticus_PYH93111	#87CEEB	Low (34.9%)
Aspergillus_ellipticus_PYH92581	#87CEEB	Low (34.9%)
Aspergillus_ellipticus_PYH91751	#905799	Far distant (27.9%)
Aspergillus_ellipticus_PYH90620	#87CEEB	Low (37.1%)
Aspergillus_ellipticus_PYH90443	#87CEEB	Low (37.9%)
Aspergillus_ellipticus_PYH90334	#87CEEB	Low (34.4%)
Aspergillus_ellipticus_PYH88754	#EAFF80	Medium (41.6%)
Aspergillus_ellipticus_PYH88755	#87CEEB	Low (34.5%)
Aspergillus_ellipticus_PYH88159	#905799	Far distant (27.6%)
Aspergillus_eucalypticola_PWY85501	#87CEEB	Low (32.3%)
Aspergillus_eucalypticola_PWY74262	#905799	Far distant (26.4%)
Aspergillus_eucalypticola_PWY70074	#87CEEB	Low (33.1%)
Aspergillus_eucalypticola_PWY68829	#87CEEB	Low (35.0%)
Aspergillus_eucalypticola_PWY68850	#87CEEB	Low (30.5%)
Aspergillus_eucalypticola_PWY84407	#87CEEB	Low (31.2%)
Aspergillus_eucalypticola_PWY68217	#87CEEB	Low (31.1%)
Aspergillus_eucalypticola_PWY65891	#87CEEB	Low (33.6%)
Aspergillus_eucalypticola_PWY64803	#87CEEB	Low (37.1%)
Aspergillus_eucalypticola_PWY82733	#87CEEB	Low (32.2%)
Aspergillus_eucalypticola_PWY63686	#905799	Far distant (28.1%)
Aspergillus_eucalypticola_PWY63063	#87CEEB	Low (34.8%)
Aspergillus_flavus_KOC14070	#905799	Far distant (28.2%)
Aspergillus_flavus_KOC09746	#905799	Far distant (21.7%)
Aspergillus_flavus_KOC08790	#87CEEB	Low (32.7%)
Aspergillus_flavus_KOC17156	#87CEEB	Low (33.3%)
Aspergillus_flavus_KJJ31293	#87CEEB	Low (32.4%)
Aspergillus_flavus_KOC08253	#87CEEB	Low (30.6%)
Aspergillus_flavus_KOC08142	#87CEEB	Low (30.3%)
Aspergillus_flavus_KOC11483	#87CEEB	Low (38.3%)
Aspergillus_flavus_KOC13328	#87CEEB	Low (34.9%)
Aspergillus_flavus_KOC18775	#905799	Far distant (29.5%)
Aspergillus_flavus_KOC09999	#905799	Far distant (29.2%)
Aspergillus_flavus_KJJ31671	#87CEEB	Low (36.0%)
Aspergillus_flavus_KOC15668	#87CEEB	Low (33.1%)
Aspergillus_flavus_KOC14492	#905799	Far distant (29.4%)
Aspergillus_flavus_KOC07570	#87CEEB	Low (34.2%)
Aspergillus_flavus_KOC11069	#87CEEB	Low (35.5%)
Aspergillus_flavus_KOC11594	#905799	Far distant (27.3%)
Aspergillus_flavus_KJJ29487	#EAFF80	Medium (45.3%)
Aspergillus_fumigatus_OXN06056	#905799	Far distant (26.4%)
Aspergillus_fumigatus_OXN04395	#87CEEB	Low (36.1%)
Aspergillus_fumigatus_OXN04310	#87CEEB	Low (35.7%)
Aspergillus_fumigatus_OXN02389	#87CEEB	Low (39.7%)
Aspergillus_fumigatus_OXN07837	#87CEEB	Low (32.6%)
Aspergillus_fumigatus_OXN10505	#87CEEB	Low (32.8%)
Aspergillus_glaucus_OJJ89196	#87CEEB	Low (33.9%)
Aspergillus_glaucus_OJJ85713	#905799	Far distant (27.6%)
Aspergillus_glaucus_OJJ81230	#87CEEB	Low (32.0%)
Aspergillus_glaucus_OJJ80277	#905799	Far distant (29.4%)
Aspergillus_glaucus_OJJ79089	#87CEEB	Low (34.2%)
Aspergillus_glaucus_OJJ78700	#87CEEB	Low (32.4%)
Aspergillus_glaucus_OJJ78522	#EAFF80	Medium (41.6%)
Aspergillus_heteromorphus_PWY83371	#87CEEB	Low (30.5%)
Aspergillus_heteromorphus_PWY82144	#87CEEB	Low (31.9%)
Aspergillus_heteromorphus_PWY73689	#87CEEB	Low (36.4%)
Aspergillus_heteromorphus_PWY89163	#87CEEB	Low (34.3%)
Aspergillus_heteromorphus_PWY85938	#87CEEB	Low (36.6%)
Aspergillus_heteromorphus_PWY85014	#87CEEB	Low (33.7%)
Aspergillus_indologenus_PYI35963	#87CEEB	Low (33.2%)
Aspergillus_indologenus_PYI35275	#87CEEB	Low (34.9%)
Aspergillus_indologenus_PYI35339	#87CEEB	Low (30.6%)
Aspergillus_indologenus_PYI34999	#87CEEB	Low (34.3%)
Aspergillus_indologenus_PYI34468	#87CEEB	Low (36.0%)
Aspergillus_indologenus_PYI33487	#87CEEB	Low (30.6%)
Aspergillus_indologenus_PYI33490	#905799	Far distant (29.3%)
Aspergillus_indologenus_PYI32682	#87CEEB	Low (31.4%)
Aspergillus_indologenus_PYI32023	#87CEEB	Low (34.6%)
Aspergillus_indologenus_PYI31862	#87CEEB	Low (34.7%)
Aspergillus_indologenus_PYI30170	#87CEEB	Low (33.8%)
Aspergillus_indologenus_PYI28853	#87CEEB	Low (38.4%)
Aspergillus_indologenus_PYI28880	#87CEEB	Low (35.8%)
Aspergillus_indologenus_PYI27964	#87CEEB	Low (31.2%)
Aspergillus_indologenus_PYI27967	#905799	Far distant (25.7%)
Aspergillus_indologenus_PYI27480	#905799	Far distant (21.1%)
Aspergillus_indologenus_PYI26444	#905799	Far distant (27.8%)
Aspergillus_indologenus_PYI25854	#87CEEB	Low (32.6%)
Aspergillus_japonicus_RAH87323	#87CEEB	Low (36.3%)
Aspergillus_japonicus_RAH86397	#87CEEB	Low (33.8%)
Aspergillus_japonicus_RAH86008	#87CEEB	Low (34.7%)
Aspergillus_japonicus_RAH86283	#87CEEB	Low (30.7%)
Aspergillus_japonicus_RAH84616	#905799	Far distant (29.9%)
Aspergillus_japonicus_RAH84652	#87CEEB	Low (34.9%)
Aspergillus_japonicus_RAH82039	#905799	Far distant (21.2%)
Aspergillus_japonicus_RAH80162	#87CEEB	Low (36.2%)
Aspergillus_japonicus_RAH80188	#87CEEB	Low (33.5%)
Aspergillus_japonicus_RAH79931	#905799	Far distant (27.5%)
Aspergillus_japonicus_RAH79934	#87CEEB	Low (30.9%)
Aspergillus_japonicus_RAH79216	#87CEEB	Low (31.3%)
Aspergillus_japonicus_RAH79219	#905799	Far distant (29.7%)
Aspergillus_japonicus_RAH79092	#905799	Far distant (27.5%)
Aspergillus_japonicus_RAH77219	#87CEEB	Low (35.4%)
Aspergillus_japonicus_RAH76007	#87CEEB	Low (34.3%)
Aspergillus_lacticoffeatus_PYH61692	#87CEEB	Low (34.3%)
Aspergillus_lacticoffeatus_PYH62038	#87CEEB	Low (32.2%)
Aspergillus_lacticoffeatus_PYH61488	#87CEEB	Low (34.2%)
Aspergillus_lacticoffeatus_PYH59017	#87CEEB	Low (31.3%)
Aspergillus_lacticoffeatus_PYH58037	#87CEEB	Low (33.3%)
Aspergillus_lacticoffeatus_PYH57827	#905799	Far distant (25.0%)
Aspergillus_lacticoffeatus_PYH56067	#87CEEB	Low (35.2%)
Aspergillus_lacticoffeatus_PYH55188	#87CEEB	Low (31.9%)
Aspergillus_lacticoffeatus_PYH53961	#87CEEB	Low (33.6%)
Aspergillus_lacticoffeatus_PYH53650	#905799	Far distant (28.7%)
Aspergillus_lacticoffeatus_PYH53326	#87CEEB	Low (35.6%)
Aspergillus_lacticoffeatus_PYH53013	#87CEEB	Low (34.3%)
Aspergillus_lacticoffeatus_PYH52298	#87CEEB	Low (30.5%)
Aspergillus_lacticoffeatus_PYH50202	#905799	Far distant (28.9%)
Aspergillus_lentulus_GAQ03938	#87CEEB	Low (38.2%)
Aspergillus_lentulus_GAQ04940	#905799	Far distant (28.0%)
Aspergillus_lentulus_GAQ05130	#87CEEB	Low (35.8%)
Aspergillus_lentulus_GAQ05196	#87CEEB	Low (31.0%)
Aspergillus_lentulus_GAQ05385	#87CEEB	Low (32.3%)
Aspergillus_lentulus_GAQ05900	#87CEEB	Low (32.7%)
Aspergillus_lentulus_GAQ05987	#87CEEB	Low (32.8%)
Aspergillus_lentulus_GAQ06704	#87CEEB	Low (33.8%)
Aspergillus_lentulus_GAQ07540	#87CEEB	Low (36.8%)
Aspergillus_lentulus_GAQ08739	#87CEEB	Low (31.3%)
Aspergillus_lentulus_GAQ08766	#87CEEB	Low (33.0%)
Aspergillus_lentulus_GAQ09757	#905799	Far distant (29.9%)
Aspergillus_lentulus_GAQ10046	#87CEEB	Low (30.8%)
Aspergillus_lentulus_GAQ10364	#87CEEB	Low (31.3%)
Aspergillus_lentulus_GAQ11464	#87CEEB	Low (34.6%)
Aspergillus_luchuensis_OJZ92818	#87CEEB	Low (32.7%)
Aspergillus_luchuensis_OJZ91204	#87CEEB	Low (31.4%)
Aspergillus_luchuensis_OJZ89041	#87CEEB	Low (31.5%)
Aspergillus_luchuensis_OJZ90101	#87CEEB	Low (32.2%)
Aspergillus_luchuensis_OJZ86610	#87CEEB	Low (33.8%)
Aspergillus_luchuensis_OJZ87038	#87CEEB	Low (34.8%)
Aspergillus_luchuensis_OJZ85560	#87CEEB	Low (30.6%)
Aspergillus_luchuensis_OJZ85516	#87CEEB	Low (33.1%)
Aspergillus_luchuensis_OJZ84792	#87CEEB	Low (33.9%)
Aspergillus_luchuensis_OJZ83587	#905799	Far distant (24.3%)
Aspergillus_luchuensis_OJZ83167	#87CEEB	Low (34.7%)
Aspergillus_luchuensis_OJZ83192	#87CEEB	Low (30.9%)
Aspergillus_luchuensis_OJZ82078	#87CEEB	Low (33.7%)
Aspergillus_luchuensis_OJZ82079	#EAFF80	Medium (41.8%)
Aspergillus_neoniger_PYH39316	#87CEEB	Low (33.5%)
