reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score
Ssal-KRED,KIO03511,0.336,334,214,0,12,335,8,341,1.887E-40,147
Ssal-KRED,KZT58659,0.315,328,223,0,12,339,10,336,1.188E-39,144
Ssal-KRED,EXF74267,0.307,330,224,0,14,337,4,333,1.591E-37,138
Ssal-KRED,ODN75553,0.318,339,224,0,8,336,4,342,7.331E-37,136
Ssal-KRED,OIW25712,0.308,326,225,0,14,339,19,344,3.373E-36,134
Ssal-KRED,EDK39148,0.316,278,187,0,14,291,5,279,3.866E-35,131
Ssal-KRED,CCE78191,0.315,309,208,0,14,318,4,312,7.109E-35,130
Ssal-KRED,EEQ38647,0.297,324,224,0,14,337,4,322,4.413E-34,128
Ssal-KRED,EXU95441,0.328,281,187,0,11,291,5,283,4.413E-34,128
Ssal-KRED,EGW32862,0.301,324,225,0,14,337,6,328,2.017E-33,126
Ssal-KRED,ABN64930,0.288,308,216,0,14,318,6,313,2.017E-33,126
Ssal-KRED,EDK41009,0.310,331,225,0,14,340,5,335,2.017E-33,126
Ssal-KRED,GBF63150,0.320,295,191,0,10,291,5,299,5.017E-33,124
Ssal-KRED,EDK41061,0.315,304,206,0,14,317,5,306,6.796E-33,124
Ssal-KRED,EER35045,0.298,331,227,0,14,337,6,336,6.796E-33,124
Ssal-KRED,KGT67521,0.289,341,235,0,8,338,1,341,9.206E-33,124
Ssal-KRED,ORY92490,0.306,319,214,0,13,322,8,326,9.206E-33,124
Ssal-KRED,OAL74534,0.315,337,224,0,10,337,5,341,1.689E-32,123
Ssal-KRED,EGW30505,0.315,310,208,0,14,318,5,314,2.287E-32,123
Ssal-KRED,ODV76726,0.304,329,221,0,12,340,2,320,2.287E-32,123
Ssal-KRED,KRZ99698,0.294,331,230,0,14,340,4,334,3.097E-32,122
Ssal-KRED,CAX41646,0.292,341,234,0,8,338,1,341,5.678E-32,121
Ssal-KRED,EDK39163,0.298,324,225,0,14,337,4,325,1.907E-31,120
Ssal-KRED,EMG50733,0.296,335,227,0,14,337,6,340,1.907E-31,120
Ssal-KRED,EMG50561,0.281,334,233,0,14,338,7,340,1.907E-31,120
Ssal-KRED,EMG50750,0.298,325,222,0,14,338,6,322,2.581E-31,119
Ssal-KRED,CCC13794,0.290,358,227,0,18,338,12,369,2.581E-31,119
Ssal-KRED,ABN66052,0.312,326,222,0,14,337,4,329,3.493E-31,119
Ssal-KRED,EEQ40618,0.314,278,189,0,14,291,5,280,3.493E-31,119
Ssal-KRED,CCG24478,0.290,295,209,0,14,308,5,299,6.396E-31,118
Ssal-KRED,KGT70745,0.286,334,236,0,6,336,2,335,8.654E-31,118
Ssal-KRED,EGW34746,0.303,324,224,0,14,337,6,328,1.171E-30,117
Ssal-KRED,EMG50243,0.287,324,224,0,14,337,5,319,1.584E-30,117
Ssal-KRED,CCH43855,0.295,334,228,0,14,337,6,339,2.142E-30,117
Ssal-KRED,KIW91465,0.307,326,221,0,14,339,3,322,2.898E-30,116
Ssal-KRED,ODV81308,0.294,333,229,0,12,337,2,334,5.300E-30,115
Ssal-KRED,ABN65471,0.300,324,225,0,14,337,5,326,1.310E-29,114
Ssal-KRED,CCA40817,0.279,345,235,0,11,337,3,347,1.310E-29,114
Ssal-KRED,CCE39733,0.289,310,216,0,14,318,5,314,2.395E-29,113
Ssal-KRED,EGW31012,0.265,327,237,0,14,337,6,332,3.237E-29,113
Ssal-KRED,EGW35479,0.292,330,230,0,11,336,3,332,4.375E-29,113
Ssal-KRED,EGW32253,0.294,308,215,0,14,318,6,313,5.913E-29,112
Ssal-KRED,ODV77212,0.300,333,228,0,12,337,2,334,5.913E-29,112
Ssal-KRED,EER35024,0.298,298,204,0,14,304,7,304,5.913E-29,112
Ssal-KRED,EGW33854,0.282,335,240,0,3,337,2,336,7.990E-29,112
Ssal-KRED,EMG50559,0.277,330,236,0,14,340,5,334,1.080E-28,111
Ssal-KRED,EDK43723,0.303,329,225,0,14,337,5,333,1.080E-28,111
Ssal-KRED,EDK46659,0.274,334,237,0,14,340,5,338,1.459E-28,111
Ssal-KRED,EER34926,0.300,316,213,0,14,318,10,325,1.459E-28,111
Ssal-KRED,ABN68180,0.300,324,226,0,14,337,4,327,1.971E-28,111
Ssal-KRED,EIW07406,0.292,328,227,0,14,335,3,330,2.662E-28,110
Ssal-KRED,ANZ74293,0.305,295,194,0,12,291,3,297,2.662E-28,110
Ssal-KRED,EGW32584,0.274,324,234,0,14,337,6,328,8.856E-28,109
Ssal-KRED,CCE41438,0.294,310,217,0,12,321,5,312,8.856E-28,109
Ssal-KRED,KOH48093,0.289,328,228,0,14,335,3,330,8.856E-28,109
Ssal-KRED,KGT70854,0.267,339,239,0,11,337,3,341,8.856E-28,109
Ssal-KRED,EGW35463,0.277,324,233,0,14,337,6,328,1.196E-27,108
Ssal-KRED,CCH57958,0.289,330,230,0,14,337,3,332,1.196E-27,108
Ssal-KRED,CCH60145,0.319,285,189,0,14,292,3,287,2.179E-27,108
Ssal-KRED,ODV67907,0.294,324,227,0,14,337,7,329,7.232E-27,106
Ssal-KRED,CAX43883,0.256,346,243,0,11,337,3,348,2.396E-26,104
Ssal-KRED,CCG22285,0.263,330,238,0,14,337,3,332,4.358E-26,104
Ssal-KRED,EGW33294,0.297,329,224,0,12,340,4,323,7.923E-26,103
Ssal-KRED,EER35026,0.270,334,239,0,14,341,6,339,1.068E-25,102
Ssal-KRED,EGW32291,0.288,324,229,0,14,337,7,329,2.616E-25,101
Ssal-KRED,KGT65805,0.277,328,234,0,14,337,7,334,3.526E-25,101
Ssal-KRED,OPB45484,0.279,330,236,0,11,338,3,332,6.401E-25,100
Ssal-KRED,EJS41804,0.282,328,230,0,14,335,3,330,1.162E-24,99
Ssal-KRED,EDO15092,0.260,329,238,0,14,335,3,331,2.107E-24,98
Ssal-KRED,CAX41255,0.266,328,237,0,14,337,7,334,3.821E-24,98
Ssal-KRED,EER30950,0.286,282,198,0,14,292,4,285,6.924E-24,97
Ssal-KRED,EGW35041,0.300,296,205,0,14,309,6,299,9.320E-24,96
Ssal-KRED,ODV81507,0.272,326,234,0,16,337,7,332,9.320E-24,96
Ssal-KRED,KGT65116,0.278,324,232,0,14,337,5,327,1.254E-23,96
Ssal-KRED,CCE40009,0.265,310,226,0,12,321,5,312,4.110E-23,94
Ssal-KRED,CCG22283,0.325,197,130,0,14,210,3,195,5.528E-23,94
Ssal-KRED,EDK47269,0.282,324,232,0,14,337,8,331,9.997E-23,93
Ssal-KRED,EER31342,0.255,324,239,0,14,337,3,324,1.429E-21,90
Ssal-KRED,CCG25156,0.219,323,251,0,14,336,10,332,1.288E-13,65
Ssal-KRED,CCE41045,0.245,281,209,0,14,291,16,296,2.283E-13,64
n.d.,ODN80031,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,KIJ46908,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,KFA63262,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,ODV69400,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,ODV65262,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,KIY00742,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
n.d.,CCE40418,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
