reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction,n_res_plddt,n_res_plddt_bs,median_plddt,median_plddt_bs,avg_plddt,avg_plddt_bs,std_plddt,std_plddt_bs,iqr_plddt,iqr_plddt_bs,p10_plddt,p10_plddt_bs,bindingsite_similarity_score,non_equivalent_residues,cavity_volume,cavity_area,cavity_avg_depth,cavity_avg_hydropathy,cavity_frequency_Alipathic_apolar,cavity_frequency_Aromatic,cavity_frequency_Polar_uncharged,cavity_frequency_Negatively_charged,cavity_frequency_Positively_charged,cavity_frequency_Non-standard,cavity_rmsd,cavity_n_points
Ssal-KRED,A0ST44,0.26,335,241,0,12,337,4,338,7.304e-24,96,2.78,0.7958,0.3746648132801056,45.0,16.0,0.3555555555555555,405.0,45.0,0.957,0.956,0.926,0.904,0.091,0.141,0.058,0.04,0.843,0.711,0.3231441048034934,7.0,809.57,512.73,2.82,-0.42,10.0,5.0,11.0,1.0,3.0,0.0,0.556,3577.0
Ssal-KRED,P51106,0.336,197,124,0,14,210,8,195,3.218e-23,94,2.53,0.79436,0.537979006767273,48.0,18.0,0.375,402.0,48.0,0.943,0.945,0.893,0.922,0.138,0.066,0.089,0.083,0.779,0.861,0.2925764192139738,10.0,660.74,467.84,2.22,-0.22,14.0,3.0,10.0,2.0,3.0,0.0,0.475,2968.0
Ssal-KRED,P51105,0.268,293,204,0,14,306,9,288,3.218e-23,94,2.61,0.7696,0.528712809085846,45.0,17.0,0.3777777777777777,414.0,45.0,0.952,0.947,0.891,0.864,0.153,0.18,0.091,0.074,0.68,0.493,0.1528384279475982,10.0,710.42,445.32,3.03,-0.25,12.0,2.0,7.0,2.0,4.0,0.0,0.597,3206.0
Ssal-KRED,P14721,0.256,298,211,0,9,306,15,299,4.327e-23,93,2.94,0.63566,0.4794769585132599,47.0,16.0,0.3404255319148936,494.0,47.0,0.914,0.934,0.8,0.859,0.219,0.173,0.298,0.098,0.431,0.517,0.2052401746724891,8.0,1101.38,629.98,3.18,0.09,11.0,2.0,14.0,3.0,4.0,0.0,0.689,4838.0
Ssal-KRED,G7JEE5,0.299,326,212,0,14,339,17,319,7.821e-23,93,2.85,0.82705,0.50632643699646,39.0,12.0,0.3076923076923077,384.0,39.0,0.962,0.977,0.932,0.968,0.099,0.021,0.041,0.033,0.894,0.94,0.1877729257641921,4.0,246.24,180.93,0.97,-0.44,6.0,2.0,6.0,0.0,1.0,0.0,0.358,1140.0
Ssal-KRED,A0A2G5ICG8,0.33,203,133,0,12,210,4,206,7.821e-23,93,2.58,0.80331,0.4644505977630615,45.0,13.0,0.2888888888888888,405.0,45.0,0.953,0.956,0.924,0.9,0.094,0.14,0.056,0.073,0.852,0.734,0.2794759825327511,9.0,778.9,504.26,2.85,-0.41,11.0,5.0,10.0,1.0,3.0,0.0,0.565,3567.0
Ssal-KRED,Q9SAH9,0.299,330,217,0,7,336,1,311,1.498e-21,89,2.54,0.83227,0.5398470759391785,43.0,11.0,0.2558139534883721,380.0,43.0,0.966,0.971,0.937,0.96,0.086,0.035,0.042,0.029,0.866,0.923,0.2139737991266375,7.0,491.62,364.49,1.43,-0.13,10.0,2.0,8.0,1.0,3.0,0.0,0.474,2236.0
Ssal-KRED,I3PLR3,0.26,288,208,0,11,298,21,302,1.498e-21,89,3.02,0.81802,0.4524638652801513,45.0,14.0,0.3111111111111111,396.0,45.0,0.962,0.972,0.927,0.949,0.086,0.066,0.062,0.033,0.812,0.91,0.1615720524017467,10.0,443.02,281.69,1.59,-0.34,11.0,3.0,4.0,1.0,1.0,0.0,0.559,2509.0
Ssal-KRED,Q9S9N9,0.289,331,218,0,9,339,8,315,2.7e-21,88,2.88,0.80602,0.4622693955898285,41.0,17.0,0.4146341463414634,392.0,41.0,0.97,0.98,0.937,0.974,0.094,0.014,0.038,0.02,0.874,0.957,0.222707423580786,6.0,317.74,209.03,1.14,-0.24,8.0,2.0,6.0,0.0,1.0,0.0,0.303,1471.0
Ssal-KRED,A0A059TC02,0.292,326,217,0,11,336,6,312,3.624e-21,87,2.6,0.83262,0.6210489273071289,44.0,23.0,0.5227272727272727,381.0,44.0,0.974,0.983,0.949,0.977,0.076,0.013,0.032,0.015,0.908,0.957,0.296943231441048,6.0,285.55,209.76,1.37,-0.39,7.0,2.0,7.0,0.0,1.0,0.0,0.528,1839.0
Ssal-KRED,Q9SEV0,0.286,242,169,0,16,257,15,252,4.864e-21,87,2.59,0.84354,0.711141049861908,45.0,15.0,0.3333333333333333,388.0,45.0,0.964,0.972,0.937,0.962,0.076,0.032,0.043,0.021,0.85,0.914,0.2270742358078602,6.0,860.98,488.92,1.81,-0.2,17.0,2.0,10.0,2.0,3.0,0.0,0.556,3852.0
Ssal-KRED,Q6K9A2,0.315,324,208,0,10,333,14,317,1.175e-20,86,2.87,0.80452,0.3287490308284759,41.0,10.0,0.2439024390243902,386.0,41.0,0.972,0.982,0.936,0.978,0.112,0.011,0.032,0.015,0.892,0.966,0.1877729257641921,7.0,523.58,348.59,1.56,-0.27,9.0,4.0,7.0,1.0,3.0,0.0,0.433,2397.0
Ssal-KRED,P51109,0.295,191,128,0,25,215,2,183,7.08e-19,80,2.58,0.84585,0.7071507573127747,43.0,20.0,0.4651162790697674,265.0,43.0,0.952,0.942,0.938,0.929,0.051,0.051,0.057,0.053,0.88,0.862,0.2314410480349345,9.0,891.65,439.51,1.18,-0.03,16.0,3.0,8.0,2.0,3.0,0.0,0.577,4051.0
Ssal-KRED,A0A0D1BUI1,0.32,210,131,0,14,223,10,202,3.04e-18,78,3.15,0.83608,0.4394227266311645,40.0,16.0,0.4,348.0,40.0,0.951,0.955,0.906,0.931,0.11,0.064,0.087,0.061,0.752,0.857,0.3493449781659388,3.0,362.23,240.45,1.28,-0.48,7.0,3.0,8.0,0.0,1.0,0.0,0.524,2330.0
Ssal-KRED,A0A3G9HN61,0.316,206,137,0,10,210,4,209,4.202e-16,72,2.89,0.81029,0.4548935890197754,43.0,16.0,0.3720930232558139,402.0,43.0,0.978,0.985,0.947,0.971,0.075,0.034,0.04,0.016,0.861,0.934,0.2532751091703056,7.0,682.13,418.01,1.55,-0.1,8.0,2.0,10.0,2.0,6.0,0.0,0.504,3004.0
Ssal-KRED,O22133,0.309,189,130,0,6,194,32,220,7.485e-16,71,3.03,0.77926,0.5155091285705566,48.0,10.0,0.2083333333333333,412.0,48.0,0.92,0.945,0.852,0.892,0.157,0.126,0.135,0.084,0.537,0.722,0.2576419213973799,11.0,602.21,454.16,2.26,-0.14,12.0,3.0,11.0,1.0,5.0,0.0,0.522,2729.0
Ssal-KRED,Q9Y7K4,0.352,130,84,0,14,143,3,132,1.225e-10,54,3.7,0.75155,1.0718605518341064,48.0,11.0,0.2291666666666666,343.0,48.0,0.978,0.984,0.964,0.979,0.043,0.013,0.024,0.012,0.933,0.955,0.1353711790393013,15.0,663.77,417.03,1.65,-0.3,10.0,3.0,5.0,2.0,5.0,0.0,0.577,3025.0
